id,season,city,date,match_type,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,player_of_match,method,umpire1,umpire2
335982,2007/08,Bangalore,18-04-2008,League,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,140,223,20,BB McCullum,NA,Asad Rauf,RE Koertzen
335983,2007/08,Chandigarh,19-04-2008,League,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33,241,20,MEK Hussey,NA,MR Benson,SL Shastri
335984,2007/08,Delhi,19-04-2008,League,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9,130,20,MF Maharoof,NA,Aleem Dar,GA Pratapkumar
335985,2007/08,Mumbai,20-04-2008,League,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,wickets,5,166,20,MV Boucher,NA,SJ Davis,DJ Harper
335986,2007/08,Kolkata,20-04-2008,League,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5,111,20,DJ Hussey,NA,BF Bowden,K Hariharan
335987,2007/08,Jaipur,21-04-2008,League,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,wickets,6,167,20,SR Watson,NA,Aleem Dar,RB Tiffin
335988,2007/08,Hyderabad,22-04-2008,League,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,wickets,9,143,20,V Sehwag,NA,IL Howell,AM Saheba
335989,2007/08,Chennai,23-04-2008,League,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6,209,20,ML Hayden,NA,DJ Harper,GA Pratapkumar
335990,2007/08,Hyderabad,24-04-2008,League,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,215,20,YK Pathan,NA,Asad Rauf,MR Benson
335991,2007/08,Chandigarh,25-04-2008,League,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,66,183,20,KC Sangakkara,NA,Aleem Dar,AM Saheba
